level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	794	1154	-1	
2	1	1	0	0	0	1	44	770	792	-1	
3	1	1	1	0	0	2	44	765	424	-1	
4	1	1	1	1	0	21	44	726	47	-1	
5	1	1	1	1	1	21	68	43	10	23.347198	ki
5	1	1	1	1	2	71	69	5	8	81.090942	A
5	1	1	1	1	3	87	44	36	47	0.000000	Ghee
5	1	1	1	1	4	138	44	48	47	0.000000	Conon
5	1	1	1	1	5	212	69	18	11	52.508354	ot
5	1	1	1	1	6	526	70	111	11	26.909286	eee
5	1	1	1	1	7	647	70	100	11	29.259079	eres
4	1	1	1	2	0	266	140	238	18	-1	
5	1	1	1	2	1	266	140	32	13	95.810066	TAX
5	1	1	1	2	2	306	140	73	14	93.098503	INVOICE
5	1	1	1	2	3	388	141	4	10	92.341911	/
5	1	1	1	2	4	463	141	41	17	91.303055	فاتورة
5	1	1	1	2	5	400	142	53	16	91.374992	ضريبية‎
4	1	1	1	3	0	37	238	724	17	-1	
5	1	1	1	3	1	199	248	30	5	76.336853	السعودية
5	1	1	1	3	2	159	244	25	8	51.963463	9000
5	1	1	1	3	3	137	245	4	3	77.514832	؟
5	1	1	1	3	4	37	238	51	6	2.034973	بلسي‎
5	1	1	1	3	5	238	244	27	9	44.956482	Saad
5	1	1	1	3	6	346	248	29	5	72.025017	للتوزيع
5	1	1	1	3	7	312	249	22	3	87.533302	الدمام
5	1	1	1	3	8	275	245	25	7	85.751686	المملكة‎
5	1	1	1	3	9	389	249	13	3	35.673660	Jal
5	1	1	1	3	10	739	245	22	9	80.046967	تاريخ
5	1	1	1	3	11	693	245	36	9	7.418556	الاستمفاق
5	1	1	1	3	12	566	229	24	31	35.057152	وبين
5	1	1	1	3	13	539	243	18	9	57.800526	ين
5	1	1	1	3	14	521	229	9	31	86.669891	|
5	1	1	1	3	15	510	229	6	31	85.690872	|
5	1	1	1	3	16	472	239	27	16	54.285206	العنواد
5	1	1	1	3	17	454	229	16	31	28.831528	الي‎
4	1	1	1	4	0	32	247	711	26	-1	
5	1	1	1	4	1	32	247	47	26	24.239166	دجا‎
5	1	1	1	4	2	208	257	50	9	64.605240	2P/Postal
5	1	1	1	4	3	266	258	25	8	77.852325	Code:
5	1	1	1	4	4	303	260	31	6	94.152802	32273
5	1	1	1	4	5	457	256	27	6	75.046677	ب‎
5	1	1	1	4	6	740	254	3	2	44.266556	7
4	1	1	1	5	0	132	325	315	12	-1	
5	1	1	1	5	1	132	329	53	8	39.247894	anplcatie
5	1	1	1	5	2	192	329	28	7	79.450165	taxes,
5	1	1	1	5	3	231	328	30	8	75.691978	duties,
5	1	1	1	5	4	270	330	18	6	51.595654	and
5	1	1	1	5	5	296	329	45	6	43.924667	vias
5	1	1	1	5	6	330	314	31	32	84.922562	wilbe
5	1	1	1	5	7	368	328	44	9	62.586712	charged
5	1	1	1	5	8	426	314	8	32	64.924568	|
5	1	1	1	5	9	444	325	3	1	39.084213	>
4	1	1	1	6	0	525	362	242	22	-1	
5	1	1	1	6	1	521	342	74	52	31.790573	ome
5	1	1	1	6	2	663	342	105	52	30.287407	ae]
4	1	1	1	7	0	2	388	765	22	-1	
5	1	1	1	7	1	2	388	508	22	20.724480	i
5	1	1	1	7	2	525	388	242	22	28.038834	oe
4	1	1	1	8	0	33	432	704	26	-1	
5	1	1	1	8	1	33	440	53	10	44.581223	a
5	1	1	1	8	2	192	440	67	11	36.070099	eta
5	1	1	1	8	3	358	432	379	26	53.451458	77
4	1	1	1	9	0	7	460	7	8	-1	
5	1	1	1	9	1	7	460	7	8	49.009163	:
3	1	1	2	0	0	28	471	739	187	-1	
4	1	1	2	1	0	28	471	733	25	-1	
5	1	1	2	1	1	28	474	26	21	60.508163	Rem
5	1	1	2	1	2	60	474	34	21	90.305473	Code
5	1	1	2	1	3	164	475	28	21	62.602314	Item
5	1	1	2	1	4	200	479	6	9	87.167114	&
5	1	1	2	1	5	214	475	75	21	77.678825	Description
5	1	1	2	1	6	362	479	20	11	92.384239	Qty
5	1	1	2	1	7	400	479	25	9	76.510498	Unit
5	1	1	2	1	8	450	479	31	9	81.624199	Price
5	1	1	2	1	9	529	487	24	9	83.616364	var
5	1	1	2	1	10	615	471	24	9	60.360180	لا‎
5	1	1	2	1	11	677	474	29	21	95.008621	Total
5	1	1	2	1	12	711	474	21	21	90.645882	inc.
5	1	1	2	1	13	741	479	20	9	96.157219	VAT
4	1	1	2	2	0	252	565	372	14	-1	
5	1	1	2	2	1	252	565	30	9	92.330391	Total
5	1	1	2	2	2	287	565	49	9	0.000000	Whtaaut
5	1	1	2	2	3	341	565	23	9	92.388481	VAT
5	1	1	2	2	4	522	546	31	41	33.169518	tah
5	1	1	2	2	5	563	546	18	41	46.995487	ann
5	1	1	2	2	6	586	566	38	13	4.837807	التماقي‎
4	1	1	2	3	0	252	583	515	23	-1	
5	1	1	2	3	1	252	589	53	9	27.016533	once
5	1	1	2	3	2	572	583	195	23	10.985275	st
4	1	1	2	4	0	252	609	515	23	-1	
5	1	1	2	4	1	252	615	24	9	84.632355	VAT
5	1	1	2	4	2	281	615	29	9	66.298767	Total
5	1	1	2	4	3	317	614	25	10	63.155510	18%
5	1	1	2	4	4	522	618	102	10	8.886581	ey
5	1	1	2	4	5	632	609	135	23	46.249443	ل‎
4	1	1	2	5	0	252	631	519	31	-1	
5	1	1	2	5	1	252	641	30	9	82.231773	‘Total
5	1	1	2	5	2	287	640	101	10	96.142746	With
5	1	1	2	5	3	320	633	22	25	91.342491	VAT
5	1	1	2	5	4	348	633	13	25	79.931442	in
5	1	1	2	5	5	366	633	26	25	87.178513	SAR
5	1	1	2	5	6	586	642	38	12	64.837189	المممرع
5	1	1	2	5	7	557	634	23	25	11.184067	شال
5	1	1	2	5	8	511	634	41	25	46.421303	الضريبية‎
5	1	1	2	5	9	628	631	143	31	20.260437	Ha)
3	1	1	3	0	0	1	668	739	168	-1	
4	1	1	3	1	0	289	668	437	12	-1	
5	1	1	3	1	1	699	657	27	28	71.212250	المبلغ
5	1	1	3	1	2	675	657	20	28	70.791100	كتابه
5	1	1	3	1	3	647	657	25	28	70.817673	بريال
5	1	1	3	1	4	605	657	37	28	33.701424	الصعودي
5	1	1	3	1	5	596	657	4	28	78.129547	:
5	1	1	3	1	6	576	657	15	28	37.624001	She‏
5	1	1	3	1	7	551	657	18	28	60.334984	آلاف
5	1	1	3	1	8	506	668	84	10	14.915077	ونمائماتة
5	1	1	3	1	9	475	657	27	28	67.131165	ونعمة
5	1	1	3	1	10	439	657	31	28	55.861244	وتسعون
5	1	1	3	1	11	412	668	18	10	88.840195	ريال
5	1	1	3	1	12	376	657	28	28	50.617760	سعودي
5	1	1	3	1	13	366	672	4	6	92.895012	و
5	1	1	3	1	14	344	657	17	28	60.434158	سلة
5	1	1	3	1	15	313	657	27	28	40.945770	ومنون
5	1	1	3	1	16	285	657	23	28	69.640167	علفة
4	1	1	3	2	0	274	683	466	11	-1	
5	1	1	3	2	1	274	683	34	9	91.955086	Saudi
5	1	1	3	2	2	313	683	35	11	93.067535	Riyals
5	1	1	3	2	3	354	683	17	9	82.266098	Six
5	1	1	3	2	4	377	683	58	9	94.444061	Thousand
5	1	1	3	2	5	441	683	30	11	62.679142	tight
