level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	184	338	2939	2639	-1	
3	1	1	1	0	0	163	338	2960	2639	-1	
4	1	1	1	1	0	246	338	2813	49	-1	
5	1	1	1	1	1	246	338	173	35	90.631172	Ethicfin
5	1	1	1	1	2	432	338	46	35	92.910896	Al
5	1	1	1	1	3	491	338	186	35	91.170319	Ghamdi
5	1	1	1	1	4	689	341	272	41	96.181366	Contracting
5	1	1	1	1	5	977	341	80	32	96.208412	Est.
5	1	1	1	1	6	2199	344	77	35	26.033913	Ng
5	1	1	1	1	7	2283	332	80	59	26.033913	lols
5	1	1	1	1	8	2374	341	134	43	2.839600	Srolstl
5	1	1	1	1	9	2526	353	77	34	27.578918	sre
5	1	1	1	1	10	2616	341	34	35	46.861855	J]
5	1	1	1	1	11	2666	353	79	17	14.739685	ase
5	1	1	1	1	12	2761	350	34	32	38.358109	Go
5	1	1	1	1	13	2811	344	56	43	18.305626	We
5	1	1	1	1	14	2883	350	38	31	54.173130	ya
5	1	1	1	1	15	2936	341	123	41	0.000000	dawje
4	1	1	1	2	0	233	400	2837	34	-1	
5	1	1	1	2	1	233	401	275	32	92.086182	Al-Muzahimiyah,
5	1	1	1	2	2	519	401	110	29	91.705719	Wasila,
5	1	1	1	2	3	644	403	96	24	96.752350	19658
5	1	1	1	2	4	1728	400	24	20	26.917961	=:
5	1	1	1	2	5	2606	407	102	23	0.000000	VAVoA
5	1	1	1	2	6	2742	397	70	42	0.000000	vlad
5	1	1	1	2	7	2840	397	80	42	23.474930	dling
5	1	1	1	2	8	2931	397	139	42	0.000000	edicolysll
4	1	1	1	3	0	231	449	2835	46	-1	
5	1	1	1	3	1	231	453	43	25	92.335945	CR
5	1	1	1	3	2	293	461	5	16	89.536545	:
5	1	1	1	3	3	314	449	289	26	90.654884	798796645324
5	1	1	1	3	4	1604	450	227	45	57.990646	—
5	1	1	1	3	5	2774	456	26	17	0.000000	\-
5	1	1	1	3	6	2817	455	67	20	17.203033	NAAM
5	1	1	1	3	7	2903	459	5	14	67.108810	:
5	1	1	1	3	8	2920	453	75	26	0.027542	Soul!
5	1	1	1	3	9	3019	452	47	27	46.552406	08)
4	1	1	1	4	0	236	501	2833	32	-1	
5	1	1	1	4	1	236	501	58	26	96.830002	VAT
5	1	1	1	4	2	306	501	67	26	95.128990	NO:
5	1	1	1	4	3	392	501	304	25	73.782776	1234567456467
5	1	1	1	4	4	2700	504	91	20	42.334030	TYAY.
5	1	1	1	4	5	2826	506	51	18	0.000000	oY
5	1	1	1	4	6	2899	482	45	56	26.544014	see
5	1	1	1	4	7	2957	482	52	56	6.383774	pall
5	1	1	1	4	8	3024	503	45	27	45.595661	2d)
4	1	1	1	5	0	1181	614	938	75	-1	
5	1	1	1	5	1	1181	615	138	58	96.623672	TAX
5	1	1	1	5	2	1352	614	283	60	93.248611	INVOICE
5	1	1	1	5	3	1662	615	23	65	93.244240	/
5	1	1	1	5	4	1708	626	97	59	43.556271	uu
5	1	1	1	5	5	1809	629	113	60	52.969990	ye
5	1	1	1	5	6	1951	625	60	64	71.654320	8,
5	1	1	1	5	7	2012	615	107	73	17.079506	gild
4	1	1	1	6	0	212	770	2845	102	-1	
5	1	1	1	6	1	212	806	205	36	96.589409	Customer
5	1	1	1	6	2	433	806	121	36	96.450897	Name
5	1	1	1	6	3	992	842	10	6	25.889572	.
5	1	1	1	6	4	1021	774	78	98	0.000000	ee
5	1	1	1	6	5	1131	778	180	89	0.000000	TRADING
5	1	1	1	6	6	1890	807	110	42	39.421253	toad
5	1	1	1	6	7	2015	808	66	52	57.614693	us!
5	1	1	1	6	8	3022	770	35	40	63.358597	r
4	1	1	1	7	0	990	846	2105	56	-1	
5	1	1	1	7	1	990	852	72	28	5.415604	SONS
5	1	1	1	7	2	1128	846	171	46	12.977333	gt
5	1	1	1	7	3	1204	842	44	64	55.188766	ost
5	1	1	1	7	4	1268	842	38	64	31.461899	Ge
5	1	1	1	7	5	1354	854	54	27	48.520233	ot
